name,score
四声,1125.0
一声,796.0
二声,762.0
三声,549.0
口,429.0
i,372.0
扌,356.0
氵,356.0
u,345.0
j,283.0
木,271.0
亻,254.0
y,254.0
x,212.0
an,212.0
艹,196.0
zh,192.0
月,191.0
土,188.0
l,179.0
日,177.0
sh,174.0
d,167.0
ao,161.0
h,158.0
b,153.0
讠,145.0
ang,144.0
ch,143.0
辶,143.0
纟,142.0
q,136.0
宀,136.0
女,133.0
m,133.0
ian,133.0
人,132.0
g,131.0
t,128.0
e,125.0
a,124.0
心,123.0
ai,119.0
ing,116.0
一,114.0
ong,113.0
贝,111.0
eng,108.0
阝,108.0
火,107.0
f,106.0
ou,102.0
p,101.0
忄,98.0
禾,96.0
w,95.0
又,92.0
uan,91.0
钅,89.0
ei,88.0
en,87.0
iao,87.0
刂,87.0
目,86.0
k,82.0
z,82.0
uo,79.0
十,78.0
田,76.0
寸,75.0
大,74.0
大,74.0
攵,73.0
un,73.0
ui,72.0
ui,72.0
s,71.0
c,71.0
ie,70.0
八,69.0
石,67.0
in,64.0
广,63.0
山,62.0
车,62.0
n,59.0
页,59.0
力,58.0
尸,58.0
手,57.0
隹,57.0
米,57.0
白,55.0
冖,54.0
iang,54.0
巾,53.0
彳,52.0
子,51.0
刀,51.0
马,51.0
丶,50.0
门,49.0
o,48.0
止,48.0
工,48.0
穴,47.0
虫,47.0
几,45.0
几,45.0
犭,45.0
斤,45.0
厶,44.0
疒,43.0
亠,43.0
r,42.0
冫,42.0
耳,41.0
厂,40.0
酉,40.0
丿,39.0
iu,39.0
皿,38.0
立,38.0
矢,38.0
方,37.0
欠,37.0
戈,37.0
户,36.0
弓,35.0
uang,35.0
灬,35.0
饣,35.0
王,35.0
者,35.0
艮,34.0
𥫗,34.0
古,34.0
分,34.0
共,34.0
分,34.0
⻊,33.0
犬,33.0
勹,32.0
肖,32.0
雨,32.0
合,32.0
占,32.0
莫,31.0
示,31.0
小,31.0
⺩,31.0
⺮,31.0
少,30.0
丁,30.0
羊,30.0
走,30.0
少,30.0
衣,30.0
丷,30.0
见,30.0
囗,29.0
匕,29.0
林,29.0
舟,28.0
各,28.0
干,28.0
干,28.0
尚,28.0
羽,28.0
罒,27.0
殳,27.0
彡,26.0
包,26.0
生,26.0
里,26.0
可,26.0
由,26.0
寺,25.0
鬼,25.0
廾,25.0
糸,25.0
夂,25.0
衤,25.0
中,25.0
夕,25.0
卜,25.0
卜,25.0
令,25.0
青,25.0
中,25.0
水,25.0
礻,25.0
革,25.0
交,25.0
辛,24.0
皮,24.0
舌,24.0
儿,24.0
昔,24.0
圭,24.0
鸟,24.0
且,24.0
勺,23.0
丨,23.0
非,23.0
监,23.0
文,23.0
余,23.0
仓,23.0
谷,22.0
至,22.0
ua,22.0
龙,22.0
旦,22.0
言,22.0
乔,22.0
正,21.0
亡,21.0
反,21.0
兑,21.0
台,21.0
去,21.0
甫,21.0
区,21.0
辟,21.0
二,21.0
旁,21.0
夹,20.0
元,20.0
巴,20.0
豆,20.0
乃,20.0
歹,20.0
争,20.0
加,20.0
士,20.0
衡,20.0
uai,20.0
轻声,20.0
爫,20.0
,19.0
光,19.0
京,19.0
匚,19.0
兼,19.0
黑,19.0
专,19.0
牛,19.0
害,19.0
自,19.0
支,19.0
千,19.0
束,19.0
登,19.0
曰,19.0
比,19.0
奇,19.0
因,19.0
直,19.0
每,19.0
高,18.0
也,18.0
